# HYDRA ρ(r) at ignition (ρR_hs = 0.3 g/cm²) -- Olson 2021 Fig 7, RIGHT panel
# Visual digitization, May 2026. Y-axis = 0.1*ρ; values below are ρ in g/cm³.
# Hot-spot edge at r=120 µm. Peak ρ at r≈130 µm. Narrower spike than xRAGE.
r_um,rho_gcc
0.0,20
10.0,19
20.0,17
30.0,15
40.0,13
50.0,13
60.0,15
70.0,18
80.0,24
90.0,32
95.0,40
100.0,50
105.0,65
110.0,85
115.0,120
120.0,165
125.0,210
128.0,225
130.0,225
132.0,220
135.0,190
138.0,150
140.0,115
145.0,65
150.0,38
155.0,25
160.0,20
170.0,18
180.0,16
190.0,15
200.0,15
