# xRAGE ρ(r) at ignition (ρR_hs = 0.3 g/cm²) -- Olson 2021 Fig 7, CENTER panel
# Visual digitization, May 2026. Y-axis = 0.1*ρ; values below are ρ in g/cm³.
# Hot-spot edge at r=120 µm. Peak ρ at r≈130-135 µm (broader peak than LILAC).
r_um,rho_gcc
0.0,22
10.0,21
20.0,19
30.0,17
40.0,16
50.0,15
60.0,15
70.0,17
80.0,22
90.0,30
95.0,38
100.0,50
105.0,65
110.0,85
115.0,110
120.0,135
125.0,160
130.0,180
135.0,180
140.0,170
145.0,140
150.0,90
155.0,55
160.0,32
165.0,20
170.0,15
180.0,12
190.0,12
200.0,12
